Pulse,Freq,Inductance,1/L,Load
3891,128.5017,0.9297,1.07561579,0
3888,128.6008,0.9283,1.077237962,0
3887,128.6339,0.9278,1.077818495,0
3884,128.7333,0.9264,1.079447323,0
3884,128.7333,0.9264,1.079447323,0
3882,128.7996,0.9254,1.080613789,0
3884,128.7333,0.9264,1.079447323,0
3882,128.7996,0.9254,1.080613789,0
3887,128.6339,0.9278,1.077818495,0
3881,128.8328,0.9249,1.081197967,0
3881,128.8328,0.9249,1.081197967,0
3883,128.7664,0.9259,1.080030241,0
3882,128.7996,0.9254,1.080613789,0
3881,128.8328,0.9249,1.081197967,0
3888,128.6008,0.9283,1.077237962,0
3884,128.7333,0.9264,1.079447323,0
3885,128.7001,0.9268,1.078981442,0
3880,128.866,0.9244,1.081782778,0
3881,128.8328,0.9249,1.081197967,0
3882,128.7996,0.9254,1.080613789,0
3991,125.2819,0.9781,1.022390349,83
3871,129.1656,0.9202,1.086720278,83
3854,129.7353,0.9121,1.096371012,83
3850,129.8701,0.9102,1.098659635,83
3850,129.8701,0.9102,1.098659635,83
3848,129.9376,0.9093,1.099747058,83
3852,129.8027,0.9111,1.097574361,83
3846,130.0052,0.9083,1.100957833,83
3847,129.9714,0.9088,1.100352113,83
3845,130.039,0.9078,1.101564221,83
3845,130.039,0.9078,1.101564221,83
3851,129.8364,0.9107,1.09805644,83
3847,129.9714,0.9088,1.100352113,83
3843,130.1067,0.9069,1.102657404,83
3851,129.8364,0.9107,1.09805644,83
3844,130.0728,0.9074,1.102049813,83
3849,129.9039,0.9097,1.099263493,83
3844,130.0728,0.9074,1.102049813,83
3846,130.0052,0.9083,1.100957833,83
3844,130.0728,0.9074,1.102049813,83
4062,123.0921,1.0132,0.98697197,166
3891,128.5017,0.9297,1.07561579,166
3860,129.5337,0.9149,1.09301563,166
3862,129.4666,0.9159,1.091822251,166
3859,129.5672,0.9145,1.093493712,166
3854,129.7353,0.9121,1.096371012,166
3861,129.5001,0.9154,1.092418615,166
3852,129.8027,0.9111,1.097574361,166
3850,129.8701,0.9102,1.098659635,166
3855,129.7017,0.9126,1.095770327,166
3848,129.9376,0.9093,1.099747058,166
3859,129.5672,0.9145,1.093493712,166
3855,129.7017,0.9126,1.095770327,166
3851,129.8364,0.9107,1.09805644,166
3847,129.9714,0.9088,1.100352113,166
3853,129.769,0.9116,1.096972356,166
3846,130.0052,0.9083,1.100957833,166
3851,129.8364,0.9107,1.09805644,166
3852,129.8027,0.9111,1.097574361,166
3853,129.769,0.9116,1.096972356,166
4063,123.0618,1.0137,0.9864851534,249
3896,128.3368,0.9321,1.072846261,249
3868,129.2658,0.9187,1.088494612,249
3870,129.199,0.9197,1.08731108,249
3861,129.5001,0.9154,1.092418615,249
3856,129.668,0.913,1.095290252,249
3855,129.7017,0.9126,1.095770327,249
3857,129.6344,0.9135,1.09469075,249
3858,129.6008,0.914,1.094091904,249
3854,129.7353,0.9121,1.096371012,249
3855,129.7017,0.9126,1.095770327,249
3855,129.7017,0.9126,1.095770327,249
3855,129.7017,0.9126,1.095770327,249
3857,129.6344,0.9135,1.09469075,249
3852,129.8027,0.9111,1.097574361,249
3852,129.8027,0.9111,1.097574361,249
3851,129.8364,0.9107,1.09805644,249
3855,129.7017,0.9126,1.095770327,249
3852,129.8027,0.9111,1.097574361,249
3849,129.9039,0.9097,1.099263493,249
4036,123.885,1.0003,0.99970009,0
3902,128.1394,0.935,1.069518717,0
3883,128.7664,0.9259,1.080030241,0
3875,129.0323,0.9221,1.084481076,0
3871,129.1656,0.9202,1.086720278,0
3867,129.2992,0.9183,1.088968747,0
3862,129.4666,0.9159,1.091822251,0
3863,129.4331,0.9164,1.091226539,0
3870,129.199,0.9197,1.08731108,0
3863,129.4331,0.9164,1.091226539,0
3862,129.4666,0.9159,1.091822251,0
3862,129.4666,0.9159,1.091822251,0
3860,129.5337,0.9149,1.09301563,0
3865,129.3661,0.9173,1.090155892,0
3859,129.5672,0.9145,1.093493712,0
3859,129.5672,0.9145,1.093493712,0
3865,129.3661,0.9173,1.090155892,0
3869,129.2324,0.9192,1.087902524,0
3860,129.5337,0.9149,1.09301563,0
3856,129.668,0.913,1.095290252,0